statement,topic,truth_label,entity,dedup_identity,source_r1_row_indices,source_r1_conjunct_refs,n_r1_rows,n_r1_conjunct_occurrences,absence_reason
Robert Noyce lived in Poland/Germany.,inventors,0,Robert Noyce,inventors::Robert Noyce lived in Poland/Germany.,"[2127, 4824, 5017, 5386, 6222, 6495, 6842, 7385]","[""2127:B"", ""4824:B"", ""5017:B"", ""5386:B"", ""6222:B"", ""6495:B"", ""6842:B"", ""7385:B""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
Rudolf Diesel lived in Poland/Germany.,inventors,0,Rudolf Diesel,inventors::Rudolf Diesel lived in Poland/Germany.,"[1115, 1184, 1880, 2397, 3567, 3810, 5536, 6269]","[""1115:B"", ""1184:B"", ""1880:B"", ""2397:B"", ""3567:B"", ""3810:B"", ""5536:B"", ""6269:B""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
Rudolf Kálmán lived in the U.S.,inventors,0,Rudolf Kálmán,inventors::Rudolf Kálmán lived in the U.S.,"[2453, 3236, 4015, 4032, 4259, 5033, 7054, 7946]","[""2453:B"", ""3236:B"", ""4015:B"", ""4032:B"", ""4259:B"", ""5033:B"", ""7054:B"", ""7946:B""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
Ruth Benerito lived in Italy.,inventors,0,Ruth Benerito,inventors::Ruth Benerito lived in Italy.,"[90, 1159, 4444, 4650, 5165, 6629, 6795, 7050]","[""90:A"", ""1159:A"", ""4444:A"", ""4650:A"", ""5165:A"", ""6629:A"", ""6795:A"", ""7050:A""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
Samuel Morse lived in China.,inventors,0,Samuel Morse,inventors::Samuel Morse lived in China.,"[790, 1472, 2335, 2995, 3665, 4592, 5381, 6299]","[""790:A"", ""1472:A"", ""2335:A"", ""2995:A"", ""3665:A"", ""4592:A"", ""5381:A"", ""6299:A""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
Sergey Brin and Larry Page lived in Hungary.,inventors,0,Sergey Brin and Larry Page,inventors::Sergey Brin and Larry Page lived in Hungary.,"[167, 895, 1770, 5186, 5330, 5358, 5744, 7037]","[""167:B"", ""895:B"", ""1770:B"", ""5186:B"", ""5330:B"", ""5358:B"", ""5744:B"", ""7037:B""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
Shinya Yamanaka lived in Sweden.,inventors,0,Shinya Yamanaka,inventors::Shinya Yamanaka lived in Sweden.,"[571, 860, 1285, 2099, 2756, 2878, 3348, 3494, 3714, 4252, 4733, 5011, 5415, 5495, 6500, 6963]","[""571:A"", ""860:A"", ""1285:A"", ""2099:A"", ""2756:A"", ""2878:A"", ""3348:A"", ""3494:A"", ""3714:A"", ""4252:A"", ""4733:A"", ""5011:A"", ""5415:A"", ""5495:A"", ""6500:A"", ""6963:A""]",16,16,generated_wrong_object_text_absent_from_source_atomic_metadata
Sir Frank Whittle lived in the Netherlands.,inventors,0,Sir Frank Whittle,inventors::Sir Frank Whittle lived in the Netherlands.,"[496, 2808, 3276, 3956, 4531, 7033, 7233, 7847]","[""496:A"", ""2808:A"", ""3276:A"", ""3956:A"", ""4531:A"", ""7033:A"", ""7233:A"", ""7847:A""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
Sir Humphry Davy lived in Austria.,inventors,0,Sir Humphry Davy,inventors::Sir Humphry Davy lived in Austria.,"[1301, 1501, 1680, 2127, 2360, 2608, 2855, 3391, 4057, 4299, 4423, 4594, 4642, 4649, 4824, 5185, 6157, 6222, 6306, 6431, 6758, 6973, 7228, 7385]","[""1301:A"", ""1501:B"", ""1680:A"", ""2127:A"", ""2360:B"", ""2608:A"", ""2855:A"", ""3391:A"", ""4057:A"", ""4299:B"", ""4423:A"", ""4594:A"", ""4642:B"", ""4649:A"", ""4824:A"", ""5185:B"", ""6157:A"", ""6222:A"", ""6306:A"", ""6431:B"", ""6758:B"", ""6973:A"", ""7228:B"", ""7385:A""]",24,24,generated_wrong_object_text_absent_from_source_atomic_metadata
Sir Sandford Fleming lived in Austria/the U.S.,inventors,0,Sir Sandford Fleming,inventors::Sir Sandford Fleming lived in Austria/the U.S.,"[1474, 2476, 4146, 4732, 5018, 5408, 6457, 6462]","[""1474:A"", ""2476:A"", ""4146:A"", ""4732:A"", ""5018:A"", ""5408:A"", ""6457:A"", ""6462:A""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
Thomas Tompion lived in Russia.,inventors,0,Thomas Tompion,inventors::Thomas Tompion lived in Russia.,"[275, 308, 885, 945, 1705, 3189, 3196, 4368, 4808, 6364, 6845, 6904, 7008, 7025, 7430, 7923]","[""275:B"", ""308:B"", ""885:B"", ""945:B"", ""1705:B"", ""3189:B"", ""3196:B"", ""4368:B"", ""4808:B"", ""6364:B"", ""6845:B"", ""6904:B"", ""7008:B"", ""7025:B"", ""7430:B"", ""7923:B""]",16,16,generated_wrong_object_text_absent_from_source_atomic_metadata
Vint Cerf lived in Sweden.,inventors,0,Vint Cerf,inventors::Vint Cerf lived in Sweden.,"[274, 1237, 1709, 1870, 4510, 5103, 5458, 6716]","[""274:B"", ""1237:B"", ""1709:B"", ""1870:B"", ""4510:B"", ""5103:B"", ""5458:B"", ""6716:B""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
Wallace Carothers lived in China.,inventors,0,Wallace Carothers,inventors::Wallace Carothers lived in China.,"[487, 562, 1596, 1877, 5453, 6617, 6896, 7029]","[""487:B"", ""562:B"", ""1596:B"", ""1877:B"", ""5453:B"", ""6617:B"", ""6896:B"", ""7029:B""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
Whitcomb Judson lived in Sweden/the U.S.,inventors,0,Whitcomb Judson,inventors::Whitcomb Judson lived in Sweden/the U.S.,"[4, 2239, 2558, 2880, 4277, 5949, 6577, 7543]","[""4:A"", ""2239:A"", ""2558:A"", ""2880:A"", ""4277:A"", ""5949:A"", ""6577:A"", ""7543:A""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
William Congreve lived in Italy.,inventors,0,William Congreve,inventors::William Congreve lived in Italy.,"[385, 1093, 3211, 3502, 4856, 5002, 5407, 7629]","[""385:B"", ""1093:B"", ""3211:B"", ""3502:B"", ""4856:B"", ""5002:B"", ""5407:B"", ""7629:B""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
William Kelly lived in the Soviet Union.,inventors,0,William Kelly,inventors::William Kelly lived in the Soviet Union.,"[1872, 3513, 4388, 4584, 5819, 6120, 6412, 7240]","[""1872:A"", ""3513:A"", ""4388:A"", ""4584:A"", ""5819:A"", ""6120:A"", ""6412:A"", ""7240:A""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
Willis Carrier lived in Switzerland.,inventors,0,Willis Carrier,inventors::Willis Carrier lived in Switzerland.,"[167, 190, 895, 1184, 1426, 1491, 1693, 1809, 1880, 2039, 2824, 2865, 2901, 3301, 3544, 3567, 3649, 3800, 4113, 4268, 4336, 4883, 5186, 5330, 5779, 6269, 7328, 7388, 7420, 7522, 7914, 7989]","[""167:A"", ""190:A"", ""895:A"", ""1184:A"", ""1426:A"", ""1491:A"", ""1693:B"", ""1809:B"", ""1880:A"", ""2039:A"", ""2824:A"", ""2865:A"", ""2901:A"", ""3301:B"", ""3544:B"", ""3567:A"", ""3649:B"", ""3800:A"", ""4113:A"", ""4268:A"", ""4336:A"", ""4883:B"", ""5186:A"", ""5330:A"", ""5779:B"", ""6269:A"", ""7328:A"", ""7388:A"", ""7420:A"", ""7522:A"", ""7914:A"", ""7989:B""]",32,32,generated_wrong_object_text_absent_from_source_atomic_metadata
Yvonne Brill lived in Poland/France.,inventors,0,Yvonne Brill,inventors::Yvonne Brill lived in Poland/France.,"[306, 700, 1942, 3543, 5121, 5561, 7248, 7600]","[""306:A"", ""700:A"", ""1942:A"", ""3543:A"", ""5121:A"", ""5561:A"", ""7248:A"", ""7600:A""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
Édouard-Léon Scott de Martinville lived in Poland/Germany.,inventors,0,Édouard-Léon Scott de Martinville,inventors::Édouard-Léon Scott de Martinville lived in Poland/Germany.,"[16, 523, 758, 3511, 3561, 4873, 6932, 6950]","[""16:A"", ""523:A"", ""758:A"", ""3511:A"", ""3561:A"", ""4873:A"", ""6932:A"", ""6950:A""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
The Spanish word 'abierto' means 'to build'.,sp_en_trans,0,abierto,sp_en_trans::The Spanish word 'abierto' means 'to build'.,"[423, 467, 728, 974, 1033, 1469, 2015, 2180, 2775, 3783, 3843, 4406, 4432, 5263, 6248, 7170]","[""423:A"", ""467:A"", ""728:A"", ""974:A"", ""1033:A"", ""1469:A"", ""2015:A"", ""2180:A"", ""2775:A"", ""3783:A"", ""3843:A"", ""4406:A"", ""4432:A"", ""5263:A"", ""6248:A"", ""7170:A""]",16,16,generated_wrong_object_text_absent_from_source_atomic_metadata
The Spanish word 'abrigo' means 'to eat'.,sp_en_trans,0,abrigo,sp_en_trans::The Spanish word 'abrigo' means 'to eat'.,"[403, 721, 966, 1246, 1845, 2073, 2395, 2746, 3445, 3521, 3812, 3883, 4078, 4200, 4415, 5090, 5283, 5392, 5742, 5880, 6224, 6790, 6897, 6977, 7022, 7048, 7139, 7468, 7499, 7674, 7724, 7747]","[""403:A"", ""721:A"", ""966:B"", ""1246:A"", ""1845:B"", ""2073:B"", ""2395:A"", ""2746:B"", ""3445:A"", ""3521:A"", ""3812:B"", ""3883:B"", ""4078:A"", ""4200:A"", ""4415:A"", ""5090:B"", ""5283:A"", ""5392:A"", ""5742:B"", ""5880:A"", ""6224:B"", ""6790:A"", ""6897:B"", ""6977:B"", ""7022:A"", ""7048:B"", ""7139:B"", ""7468:B"", ""7499:B"", ""7674:B"", ""7724:A"", ""7747:A""]",32,32,generated_wrong_object_text_absent_from_source_atomic_metadata
The Spanish word 'aceite' means 'son'.,sp_en_trans,0,aceite,sp_en_trans::The Spanish word 'aceite' means 'son'.,"[495, 652, 954, 1869, 2318, 3160, 3941, 4930, 5612, 5890, 5899, 5929, 6440, 7432, 7716, 7931]","[""495:B"", ""652:B"", ""954:B"", ""1869:B"", ""2318:B"", ""3160:B"", ""3941:B"", ""4930:B"", ""5612:B"", ""5890:B"", ""5899:B"", ""5929:B"", ""6440:B"", ""7432:B"", ""7716:B"", ""7931:B""]",16,16,generated_wrong_object_text_absent_from_source_atomic_metadata
The Spanish word 'agua' means 'stone'.,sp_en_trans,0,agua,sp_en_trans::The Spanish word 'agua' means 'stone'.,"[902, 955, 4394, 5266, 5373, 6024, 6051, 6706]","[""902:B"", ""955:B"", ""4394:B"", ""5266:B"", ""5373:B"", ""6024:B"", ""6051:B"", ""6706:B""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
The Spanish word 'amigo' means 'enough'.,sp_en_trans,0,amigo,sp_en_trans::The Spanish word 'amigo' means 'enough'.,"[1461, 1561, 3237, 3602, 3608, 4443, 6808, 7354]","[""1461:A"", ""1561:A"", ""3237:A"", ""3602:A"", ""3608:A"", ""4443:A"", ""6808:A"", ""7354:A""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
The Spanish word 'arena' means 'place'.,sp_en_trans,0,arena,sp_en_trans::The Spanish word 'arena' means 'place'.,"[2630, 4039, 4045, 4285, 4893, 6067, 6595, 7750]","[""2630:B"", ""4039:B"", ""4045:B"", ""4285:B"", ""4893:B"", ""6067:B"", ""6595:B"", ""7750:B""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
The Spanish word 'ballena' means 'rose'.,sp_en_trans,0,ballena,sp_en_trans::The Spanish word 'ballena' means 'rose'.,"[556, 1349, 1477, 2689, 4647, 5950, 7418, 7452]","[""556:A"", ""1349:A"", ""1477:A"", ""2689:A"", ""4647:A"", ""5950:A"", ""7418:A"", ""7452:A""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
The Spanish word 'belleza' means 'rabbit'.,sp_en_trans,0,belleza,sp_en_trans::The Spanish word 'belleza' means 'rabbit'.,"[226, 2060, 3232, 3983, 4970, 5531, 7044, 7181]","[""226:B"", ""2060:B"", ""3232:B"", ""3983:B"", ""4970:B"", ""5531:B"", ""7044:B"", ""7181:B""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
The Spanish word 'boca' means 'person'.,sp_en_trans,0,boca,sp_en_trans::The Spanish word 'boca' means 'person'.,"[1142, 2024, 2291, 3433, 6132, 7185, 7563, 7880]","[""1142:A"", ""2024:A"", ""2291:A"", ""3433:A"", ""6132:A"", ""7185:A"", ""7563:A"", ""7880:A""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
The Spanish word 'bosque' means 'force'.,sp_en_trans,0,bosque,sp_en_trans::The Spanish word 'bosque' means 'force'.,"[309, 632, 941, 992, 1829, 5005, 5037, 5135, 5522, 5714, 6095, 6515, 6779, 7257, 7978, 7998]","[""309:B"", ""632:B"", ""941:A"", ""992:A"", ""1829:A"", ""5005:A"", ""5037:B"", ""5135:A"", ""5522:A"", ""5714:B"", ""6095:A"", ""6515:B"", ""6779:B"", ""7257:A"", ""7978:B"", ""7998:B""]",16,16,generated_wrong_object_text_absent_from_source_atomic_metadata
The Spanish word 'brazo' means 'winter'.,sp_en_trans,0,brazo,sp_en_trans::The Spanish word 'brazo' means 'winter'.,"[626, 2009, 2172, 3018, 4220, 5205, 5770, 7070]","[""626:B"", ""2009:B"", ""2172:B"", ""3018:B"", ""4220:B"", ""5205:B"", ""5770:B"", ""7070:B""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
The Spanish word 'bueno' means 'modern'.,sp_en_trans,0,bueno,sp_en_trans::The Spanish word 'bueno' means 'modern'.,"[148, 2104, 2791, 3482, 5161, 5262, 6892, 7577]","[""148:B"", ""2104:B"", ""2791:B"", ""3482:B"", ""5161:B"", ""5262:B"", ""6892:B"", ""7577:B""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
The Spanish word 'cabeza' means 'south'.,sp_en_trans,0,cabeza,sp_en_trans::The Spanish word 'cabeza' means 'south'.,"[468, 816, 1201, 2610, 3281, 3709, 4153, 4408, 4453, 4533, 4963, 5016, 5222, 6868, 7299, 7807]","[""468:A"", ""816:A"", ""1201:A"", ""2610:B"", ""3281:B"", ""3709:A"", ""4153:A"", ""4408:B"", ""4453:B"", ""4533:A"", ""4963:B"", ""5016:A"", ""5222:B"", ""6868:B"", ""7299:A"", ""7807:B""]",16,16,generated_wrong_object_text_absent_from_source_atomic_metadata
The Spanish word 'caer' means 'sun'.,sp_en_trans,0,caer,sp_en_trans::The Spanish word 'caer' means 'sun'.,"[418, 469, 505, 633, 2133, 2359, 2710, 2763, 2786, 3082, 3258, 3860, 4123, 5733, 6557, 6935]","[""418:B"", ""469:B"", ""505:A"", ""633:B"", ""2133:A"", ""2359:A"", ""2710:A"", ""2763:B"", ""2786:A"", ""3082:A"", ""3258:A"", ""3860:B"", ""4123:B"", ""5733:A"", ""6557:B"", ""6935:B""]",16,16,generated_wrong_object_text_absent_from_source_atomic_metadata
The Spanish word 'caliente' means 'corner'.,sp_en_trans,0,caliente,sp_en_trans::The Spanish word 'caliente' means 'corner'.,"[52, 149, 216, 311, 454, 732, 812, 922, 1382, 1739, 2012, 2304, 2589, 2686, 3107, 3577, 3823, 4688, 5000, 5378, 5409, 5598, 6061, 6367, 6632, 6707, 7275, 7333, 7415, 7516, 7874, 7962]","[""52:A"", ""149:A"", ""216:B"", ""311:B"", ""454:B"", ""732:B"", ""812:A"", ""922:A"", ""1382:A"", ""1739:B"", ""2012:A"", ""2304:A"", ""2589:A"", ""2686:B"", ""3107:A"", ""3577:A"", ""3823:A"", ""4688:B"", ""5000:B"", ""5378:B"", ""5409:A"", ""5598:B"", ""6061:A"", ""6367:B"", ""6632:B"", ""6707:B"", ""7275:B"", ""7333:A"", ""7415:A"", ""7516:B"", ""7874:B"", ""7962:A""]",32,32,generated_wrong_object_text_absent_from_source_atomic_metadata
The Spanish word 'caminar' means 'cat'.,sp_en_trans,0,caminar,sp_en_trans::The Spanish word 'caminar' means 'cat'.,"[3339, 3397, 3864, 4019, 4892, 5642, 6209, 7731]","[""3339:A"", ""3397:A"", ""3864:A"", ""4019:A"", ""4892:A"", ""5642:A"", ""6209:A"", ""7731:A""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
The Spanish word 'ciudad' means 'to connect'.,sp_en_trans,0,ciudad,sp_en_trans::The Spanish word 'ciudad' means 'to connect'.,"[734, 1565, 3471, 3996, 5884, 6360, 6738, 7682]","[""734:B"", ""1565:B"", ""3471:B"", ""3996:B"", ""5884:B"", ""6360:B"", ""6738:B"", ""7682:B""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
The Spanish word 'clase' means 'twenty'.,sp_en_trans,0,clase,sp_en_trans::The Spanish word 'clase' means 'twenty'.,"[309, 504, 632, 792, 1121, 1272, 2108, 2729, 2993, 3694, 5037, 5853, 7331, 7715, 7976, 7998]","[""309:A"", ""504:B"", ""632:A"", ""792:B"", ""1121:B"", ""1272:A"", ""2108:B"", ""2729:A"", ""2993:A"", ""3694:B"", ""5037:A"", ""5853:B"", ""7331:B"", ""7715:A"", ""7976:B"", ""7998:A""]",16,16,generated_wrong_object_text_absent_from_source_atomic_metadata
The Spanish word 'coche' means 'month'.,sp_en_trans,0,coche,sp_en_trans::The Spanish word 'coche' means 'month'.,"[194, 536, 1001, 4020, 4092, 5439, 5462, 7764]","[""194:A"", ""536:A"", ""1001:A"", ""4020:A"", ""4092:A"", ""5439:A"", ""5462:A"", ""7764:A""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
The Spanish word 'comer' means 'clock'.,sp_en_trans,0,comer,sp_en_trans::The Spanish word 'comer' means 'clock'.,"[964, 1744, 3733, 3991, 4661, 6135, 6887, 7653]","[""964:B"", ""1744:B"", ""3733:B"", ""3991:B"", ""4661:B"", ""6135:B"", ""6887:B"", ""7653:B""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
The Spanish word 'concha' means 'giraffe'.,sp_en_trans,0,concha,sp_en_trans::The Spanish word 'concha' means 'giraffe'.,"[171, 263, 2300, 3463, 4629, 6098, 6635, 7963]","[""171:B"", ""263:B"", ""2300:B"", ""3463:B"", ""4629:B"", ""6098:B"", ""6635:B"", ""7963:B""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
The Spanish word 'conectar' means 'to sell'.,sp_en_trans,0,conectar,sp_en_trans::The Spanish word 'conectar' means 'to sell'.,"[216, 792, 1048, 3408, 4034, 5261, 5378, 5447, 5853, 6006, 6282, 6632, 6707, 7198, 7331, 7976]","[""216:A"", ""792:A"", ""1048:A"", ""3408:A"", ""4034:A"", ""5261:A"", ""5378:A"", ""5447:A"", ""5853:A"", ""6006:A"", ""6282:A"", ""6632:A"", ""6707:A"", ""7198:A"", ""7331:A"", ""7976:A""]",16,16,generated_wrong_object_text_absent_from_source_atomic_metadata
The Spanish word 'conejo' means 'to save'.,sp_en_trans,0,conejo,sp_en_trans::The Spanish word 'conejo' means 'to save'.,"[326, 3085, 3644, 4703, 5265, 5305, 7019, 7477]","[""326:A"", ""3085:A"", ""3644:A"", ""4703:A"", ""5265:A"", ""5305:A"", ""7019:A"", ""7477:A""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
The Spanish word 'construir' means 'to swim'.,sp_en_trans,0,construir,sp_en_trans::The Spanish word 'construir' means 'to swim'.,"[2378, 2875, 3149, 3928, 4323, 6668, 7127, 7136]","[""2378:B"", ""2875:B"", ""3149:B"", ""3928:B"", ""4323:B"", ""6668:B"", ""7127:B"", ""7136:B""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
The Spanish word 'delgado' means 'history'.,sp_en_trans,0,delgado,sp_en_trans::The Spanish word 'delgado' means 'history'.,"[943, 2439, 3758, 4913, 5069, 5085, 5179, 5264]","[""943:A"", ""2439:A"", ""3758:A"", ""4913:A"", ""5069:A"", ""5085:A"", ""5179:A"", ""5264:A""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
The Spanish word 'desarrollar' means 'sand'.,sp_en_trans,0,desarrollar,sp_en_trans::The Spanish word 'desarrollar' means 'sand'.,"[87, 305, 342, 728, 946, 1004, 1156, 1304, 1468, 1469, 1703, 2103, 2168, 2180, 2575, 2634, 2656, 2825, 3310, 3843, 4059, 4189, 4646, 4858, 5557, 5651, 5832, 6166, 6901, 6925, 7262, 7700]","[""87:A"", ""305:B"", ""342:B"", ""728:B"", ""946:A"", ""1004:A"", ""1156:B"", ""1304:A"", ""1468:A"", ""1469:B"", ""1703:B"", ""2103:B"", ""2168:A"", ""2180:B"", ""2575:A"", ""2634:B"", ""2656:A"", ""2825:A"", ""3310:A"", ""3843:B"", ""4059:B"", ""4189:B"", ""4646:A"", ""4858:A"", ""5557:B"", ""5651:A"", ""5832:B"", ""6166:A"", ""6901:B"", ""6925:A"", ""7262:A"", ""7700:B""]",32,32,generated_wrong_object_text_absent_from_source_atomic_metadata
The Spanish word 'ejemplo' means 'to see'.,sp_en_trans,0,ejemplo,sp_en_trans::The Spanish word 'ejemplo' means 'to see'.,"[296, 1323, 2073, 2178, 2322, 2746, 3185, 3851, 3873, 5782, 6027, 6263, 7048, 7499, 7879, 7901]","[""296:B"", ""1323:B"", ""2073:A"", ""2178:B"", ""2322:B"", ""2746:A"", ""3185:B"", ""3851:A"", ""3873:A"", ""5782:B"", ""6027:A"", ""6263:A"", ""7048:A"", ""7499:A"", ""7879:B"", ""7901:B""]",16,16,generated_wrong_object_text_absent_from_source_atomic_metadata
The Spanish word 'elegir' means 'to connect'.,sp_en_trans,0,elegir,sp_en_trans::The Spanish word 'elegir' means 'to connect'.,"[1882, 1994, 2372, 2744, 4192, 4875, 5478, 5985]","[""1882:A"", ""1994:A"", ""2372:A"", ""2744:A"", ""4192:A"", ""4875:A"", ""5478:A"", ""5985:A""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
The Spanish word 'enemigo' means 'thin'.,sp_en_trans,0,enemigo,sp_en_trans::The Spanish word 'enemigo' means 'thin'.,"[984, 2740, 3974, 4832, 5667, 6430, 7565, 7695]","[""984:B"", ""2740:B"", ""3974:B"", ""4832:B"", ""5667:B"", ""6430:B"", ""7565:B"", ""7695:B""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
The Spanish word 'enviar' means 'city'.,sp_en_trans,0,enviar,sp_en_trans::The Spanish word 'enviar' means 'city'.,"[29, 213, 418, 633, 634, 1688, 2763, 3175, 3860, 4156, 4427, 4956, 6077, 6748, 7047, 7910]","[""29:B"", ""213:A"", ""418:A"", ""633:A"", ""634:A"", ""1688:B"", ""2763:A"", ""3175:A"", ""3860:A"", ""4156:A"", ""4427:B"", ""4956:B"", ""6077:B"", ""6748:B"", ""7047:B"", ""7910:B""]",16,16,generated_wrong_object_text_absent_from_source_atomic_metadata
The Spanish word 'escribir' means 'to die'.,sp_en_trans,0,escribir,sp_en_trans::The Spanish word 'escribir' means 'to die'.,"[747, 1020, 1561, 3602, 3608, 5001, 6808, 7973]","[""747:B"", ""1020:B"", ""1561:B"", ""3602:B"", ""3608:B"", ""5001:B"", ""6808:B"", ""7973:B""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
The Spanish word 'escuela' means 'red'.,sp_en_trans,0,escuela,sp_en_trans::The Spanish word 'escuela' means 'red'.,"[87, 2115, 2656, 2767, 2920, 3310, 4858, 7977]","[""87:B"", ""2115:B"", ""2656:B"", ""2767:B"", ""2920:B"", ""3310:B"", ""4858:B"", ""7977:B""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
The Spanish word 'esposa' means 'list'.,sp_en_trans,0,esposa,sp_en_trans::The Spanish word 'esposa' means 'list'.,"[984, 2475, 3974, 4433, 4910, 5667, 6261, 6430]","[""984:A"", ""2475:A"", ""3974:A"", ""4433:A"", ""4910:A"", ""5667:A"", ""6261:A"", ""6430:A""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
The Spanish word 'esquina' means 'person'.,sp_en_trans,0,esquina,sp_en_trans::The Spanish word 'esquina' means 'person'.,"[600, 1198, 3026, 4016, 5127, 5629, 6270, 6686]","[""600:B"", ""1198:B"", ""3026:B"", ""4016:B"", ""5127:B"", ""5629:B"", ""6270:B"", ""6686:B""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
The Spanish word 'familia' means 'dog'.,sp_en_trans,0,familia,sp_en_trans::The Spanish word 'familia' means 'dog'.,"[557, 938, 1317, 1321, 1878, 1931, 2107, 2353, 2442, 2554, 2709, 2851, 2984, 3462, 3522, 4001, 4249, 5308, 6059, 6290, 6551, 6634, 6818, 6890]","[""557:A"", ""938:A"", ""1317:A"", ""1321:B"", ""1878:A"", ""1931:A"", ""2107:A"", ""2353:A"", ""2442:A"", ""2554:B"", ""2709:A"", ""2851:A"", ""2984:B"", ""3462:A"", ""3522:A"", ""4001:A"", ""4249:A"", ""5308:A"", ""6059:B"", ""6290:A"", ""6551:B"", ""6634:B"", ""6818:B"", ""6890:B""]",24,24,generated_wrong_object_text_absent_from_source_atomic_metadata
The Spanish word 'fuego' means 'woman'.,sp_en_trans,0,fuego,sp_en_trans::The Spanish word 'fuego' means 'woman'.,"[149, 485, 1436, 2012, 2741, 2858, 3577, 3823, 4114, 4175, 4331, 5877, 5948, 5994, 6941, 7521]","[""149:B"", ""485:B"", ""1436:A"", ""2012:B"", ""2741:B"", ""2858:A"", ""3577:B"", ""3823:B"", ""4114:A"", ""4175:B"", ""4331:A"", ""5877:A"", ""5948:A"", ""5994:A"", ""6941:A"", ""7521:B""]",16,16,generated_wrong_object_text_absent_from_source_atomic_metadata
The Spanish word 'fuerza' means 'voice'.,sp_en_trans,0,fuerza,sp_en_trans::The Spanish word 'fuerza' means 'voice'.,"[914, 1087, 1422, 2113, 4677, 4992, 7775, 7922]","[""914:A"", ""1087:A"", ""1422:A"", ""2113:A"", ""4677:A"", ""4992:A"", ""7775:A"", ""7922:A""]",8,8,generated_wrong_object_text_absent_from_source_atomic_metadata
The Spanish word 'gato' means 'to fall'.,sp_en_trans,0,gato,sp_en_trans::The Spanish word 'gato' means 'to fall'.,"[293, 296, 1186, 2094, 2102, 2534, 2795, 3185, 3989, 5053, 5226, 5291, 5601, 6250, 7879, 7901]","[""293:B"", ""296:A"", ""1186:B"", ""2094:B"", ""2102:A"", ""2534:B"", ""2795:B"", ""3185:A"", ""3989:A"", ""5053:A"", ""5226:B"", ""5291:A"", ""5601:B"", ""6250:B"", ""7879:A"", ""7901:A""]",16,16,generated_wrong_object_text_absent_from_source_atomic_metadata
The Spanish word 'grupo' means 'wave'.,sp_en_trans,0,grupo,sp_en_trans::The Spanish word 'grupo' means 'wave'.,"[823, 871, 975, 1318, 2025, 2979, 3003, 3430, 4548, 5188, 5663, 6342, 6409, 6895, 7142, 7270]","[""823:A"", ""871:B"", ""975:B"", ""1318:B"", ""2025:A"", ""2979:B"", ""3003:A"", ""3430:A"", ""4548:B"", ""5188:A"", ""5663:B"", ""6342:A"", ""6409:B"", ""6895:A"", ""7142:A"", ""7270:B""]",16,16,generated_wrong_object_text_absent_from_source_atomic_metadata
